,STATE,YEAR,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,4TH_ENROLLED,8TH_ENROLLED,TOTAL_ENROLLMENT,4_AVG_MATH_SCORE,8_AVG_MATH_SCORE,4_AVG_RDG_SCORE,8_AVG_RDG_SCORE,PRISONER_COUNT,STATE_POPULATION,VIOLENT_CRIME_TOTAL,PROPERTY_CRIME_TOTAL,TOTAL_JAIL_ADM,ASIAN_JAIL_POP,BLACK_JAIL_POP,LATINO_JAIL_POP,NATIVE_JAIL_POP,WHITE_JAIL_POP,ASIAN_PRISON_POP,BLACK_PRISON_POP,LATINO_PRISON_POP,NATIVE_PRISON_POP,OTHER_PRISON_POP,WHITE_PRISON_POP
296,NEW_JERSEY,2011,25716298.0,14113108.0,96459.0,98968.0,1213821.0,248.00416260000003,294.1387714,231.23762969999999,272.8741408,23642,8834773.0,27203.0,189719.0,38730.0,0.5234297108673979,50.64805583250249,21.111665004985046,0.19940179461615154,27.018943170488534,0.5511328842620943,59.3692590324556,17.345376607470914,0.07654623392529088,0.1990202082057563,22.45866503368034
297,NEW_JERSEY,2012,26432652.0,14491817.0,98152.0,100052.0,1224171.0,,,,,23050,8867749.0,25727.0,181481.0,23979.0,0.5142589995324919,43.29125759700795,21.084618980832165,0.18700327255726976,36.65264142122487,0.25856496444731736,54.65416936005171,18.81060116354234,0.25856496444731736,0.12928248222365868,25.888817065287657
298,NEW_JERSEY,2013,28179900.0,15489942.0,98832.0,99950.0,1227423.0,246.87090919999997,296.05335110000004,228.7197441,269.2219146,22263,8911502.0,25748.0,167634.0,43791.0,0.6392178981011468,53.20548975371311,16.05564955818763,0.2256063169768754,21.86501222034217,0.3014437569411391,72.23544343963192,14.00920196731715,0.0,0.20625099159130572,13.247659844518484
299,NEW_JERSEY,2014,27742203.0,14956606.0,97428.0,99751.0,1249593.0,,,,,21394,8938175.0,23346.0,154993.0,16504.0,0.641025641025641,37.749287749287745,16.381766381766383,0.14245014245014245,46.15384615384615,0.48939641109298526,46.900489396411096,12.805872756933114,0.0,4.241435562805873,35.56280587275693
300,NEW_JERSEY,2015,28809725.0,15339450.0,98565.0,98128.0,1255517.0,245.3832201,293.36593819999996,229.4876744,259.4173764,20294,8958013.0,22879.0,145701.0,45900.0,0.2663388649866831,46.81417742265929,16.164720344191764,0.14341323499282935,29.829952878508504,0.4791136397664321,56.640215601137896,11.798173379248391,0.11977840994160803,7.7706243449618215,23.192094624943856
301,NEW_YORK,2001,38062603.0,22052316.0,214283.0,210369.0,2548448.0,,,,,67554,19084350.0,98022.0,458003.0,204904.0,0.4579460439809567,52.106098390387665,26.696894128315574,0.39446837451824984,18.62616186805713,0.6051803437424352,53.486769826639105,32.15649032642497,0.3556598327840158,0.9291845893153082,12.466715081094167
302,NEW_YORK,2002,39585780.0,23167459.0,212414.0,215632.0,2556836.0,,,,,66925,19134293.0,95030.0,442091.0,207598.0,0.5272727272727272,52.41818181818182,27.250000000000004,0.36818181818181817,19.245454545454546,0.6294793523188351,52.99761101209663,32.39164233438247,0.37162034052557735,1.0674604679382655,12.542186492738235
303,NEW_YORK,2003,41603390.0,24786376.0,206912.0,219335.0,2543604.0,235.9300755,279.749257,222.1882071,255.01082799999998,65388,19212425.0,89486.0,432079.0,199116.0,0.42530784186649384,49.09267660401815,25.741250810110174,0.32404406999351915,18.19102397926118,0.5978989718372821,53.209283266279236,31.42601698703621,0.43026374608851137,1.205111011771718,13.131426016987035
304,NEW_YORK,2004,42953568.0,25761741.0,202267.0,218176.0,2543681.0,,,,,64024,19280727.0,84914.0,422734.0,217392.0,0.5293358836350696,52.546594902361996,25.012232551932744,0.3469596548196255,20.083626173212934,0.5950485591466327,53.16231491800669,30.81714695112243,0.49952236904951436,1.0826301544340073,13.843337048240725
305,NEW_YORK,2005,45086872.0,27866708.0,196279.0,216226.0,2518645.0,238.1739767,279.7162537,222.6952,264.6593688,63032,19315721.0,85839.0,405990.0,191781.0,0.44484885249216455,51.98159943382873,24.582954200788596,0.3235264381761197,19.376200586391672,0.6239276243955701,53.983109387882436,30.311740980903355,0.5035987254049958,1.0539920226396595,13.523631258773982
